startphrase,ending1,ending2,labels,qid
The lawyer negotiation tactic be like a fuzzy bathrobe ,The lawyer negotiation tactic be tough . ,The lawyer negotiation tactic be lenient . ,1,103
The plastic plate shatter and look like A spiderweb ,It shatter into a lot of piece . ,It only shatter into 2 piece . ,0,106
The plastic plate shatter and look like A half moon ,It shatter into a lot of piece . ,It only shatter into 2 piece . ,1,106
The apartment be as high up as The empire State building observation deck . ,The apartment be on the high floor . ,The apartment be only a few floor up ,0,107
The apartment be as high up as A treehouse in the backyard ,The apartment be on the high floor . ,The apartment be only a few floor up ,1,107
The man have the feature of a Greek god ,The man be very attractive ,The man be goofy and ugly ,0,110
The man have the feature of a clown ,The man be very attractive ,The man be goofy and ugly ,1,110
The pug be wheeze in dog form . ,The dog be tire and have trouble breathing . ,The dog have a ton of energy . ,0,112
The pug be lightning in dog form . ,The dog be tire and have trouble breathing . ,The dog have a ton of energy . ,1,112
That movie have the humor of a nun . ,The movie be not funny . ,The movie be very funny . ,0,113
That movie have the humor of a clown bus . ,The movie be not funny . ,The movie be very funny . ,1,113
The movie have a depth of A crater . ,The movie have a deep meaning . ,The movie be superficial . ,0,115
The movie have a depth of A crack . ,The movie have a deep meaning . ,The movie be superficial . ,1,115
The gambler think his odds be as low as the ground . ,His odds be low . ,His odds be actually high . ,0,119
The gambler think his odds be as low as the moon . ,His odds be low . ,His odds be actually high . ,1,119
The dancer be as graceful as a swan . ,The dancer be graceful . ,The dancer be boorish and uncoordinated . ,0,120
The dancer be as graceful as a honking goose . ,The dancer be graceful . ,The dancer be boorish and uncoordinated . ,1,120
He be as smart as A tree stump ,The person be dumb ,The person be a genius ,0,125
He be as smart as EINSTEIN ,The person be dumb ,The person be a genius ,1,125
The stock value be a geyser ,The stock value increase . ,The stock value stay stagnant . ,0,128
The stock value be a puddle ,The stock value increase . ,The stock value stay stagnant . ,1,128
The couch have all the comfort of a thornbush . ,The couch be very comfortable . ,The couch be not very comfortable . ,0,131
The couch have all the comfort of a grandma hug . ,The couch be very comfortable . ,The couch be not very comfortable . ,1,131
The ballerina have all to grace of A club foot drunk ,The ballerina be clumsy ,The ballerina be graceful ,0,133
The ballerina have all to grace of A swan gently swim in a pond ,The ballerina be clumsy ,The ballerina be graceful ,1,133
The tennis match contain all the suspense of A boring and endless Monopoly game ,The tennis match be tedious and boring ,The tennis match be suspenseful and excite ,0,134
The tennis match contain all the suspense of An Alfred Hitchcock movie ,The tennis match be tedious and boring ,The tennis match be suspenseful and excite ,1,134
He be faithful as a church goer ,he be good ,he be bad ,0,135
He be faithful as a strip club VIP ,he be good ,he be bad ,1,135
The incense have the smell of a homemade apple pie after skip lunch ,The incense smell quite good ,The incense do not smell good at all ,0,138
The incense have the smell of a wet dog wear gym sock ,The incense smell quite good ,The incense do not smell good at all ,1,138
The girl have the thirst of a man after finish a 128 oz slushie ,The girl be not thirsty ,The girl be very thirsty ,0,139
The girl have the thirst of a mid '00s SUV after a short drive ,The girl be not thirsty ,The girl be very thirsty ,1,139
The backpack have the space of a school bus in the middle of the night ,The backpack have a lot of space ,There be little space in the backpack ,0,140
The backpack have the space of a school bus on a field trip to a pizza party ,The backpack have a lot of space ,There be little space in the backpack ,1,140
The coffee be as strong as an army ,The coffee be very strong ,The coffee be very weak ,0,142
The coffee be as strong as dilute milk ,The coffee be very strong ,The coffee be very weak ,1,142
The room be as dark as a pay phone ,The room be very dark ,The room be not dark but not well light ,0,143
The room be as dark as a raincloud ,The room be very dark ,The room be not dark but not well light ,1,143
The sun shin like a flame . ,The sun be very bright . ,The sun be dim or obscure not bright at all . ,0,144
The sun shin like a burn out bulb . ,The sun be very bright . ,The sun be dim or obscure not bright at all . ,1,144
Christmas be as lively as a party . ,Christmas be lively and festive . ,Christmas be quiet lonely and devoid of activity . ,0,145
Christmas be as lively as a morgue . ,Christmas be lively and festive . ,Christmas be quiet lonely and devoid of activity . ,1,145
The movie have the thrill of a dentist visit ,The movie be dull . ,The movie be excite . ,0,151
The movie have the thrill of a carnival ride ,The movie be dull . ,The movie be excite . ,1,151
The book plot have the novelty of an iPhone 4 ,The book plot be stale . ,The book plot be really novel . ,0,152
The book plot have the novelty of a robot with feeling ,The book plot be stale . ,The book plot be really novel . ,1,152
My shoulder hurt as much as step on a jagged rusty nail ,It hurt a lot ,It barely hurt at all ,0,153
My shoulder hurt as much as get hit with a silk pillow ,It hurt a lot ,It barely hurt at all ,1,153
The hostess be a dental drill . ,The hostess be unpleasant . ,The hostess be delightful . ,0,156
The hostess be a sweet potato pie . ,The hostess be unpleasant . ,The hostess be delightful . ,1,156
The wrinkle cream be an outhouse . ,The wrinkle cream be disgust . ,The wrinkle cream be pleasant . ,0,157
The wrinkle cream be a purr kitten . ,The wrinkle cream be disgust . ,The wrinkle cream be pleasant . ,1,157
She be gleam like headlight ,she be bright ,she be dark ,0,163
She be gleam like midnight ,she be bright ,she be dark ,1,163
This sand be as coarse as a silkworm thread ,It not coarse at all ,It very rough ,0,175
This sand be as coarse as the discourse at a Thanksgiving dinner ,It not coarse at all ,It very rough ,1,175
The pool have the wetness of the planet Kamino ,It very wet ,It very dry ,0,176
The pool have the wetness of the planet Tatooine ,It very wet ,It very dry ,1,176
Quitting the job be as satisfying as an ice cream cone on a summer day ,Quitting the job be totally satisfying . ,Quitting the job give no satisfaction . ,0,180
Quitting the job be as satisfying as a prickly rise bush ,Quitting the job be totally satisfying . ,Quitting the job give no satisfaction . ,1,180
The music have the sound of a jackhammer ,The music be loud ,The music be soft ,0,181
The music have the sound of a baby bird ,The music be loud ,The music be soft ,1,181
The jacket have the feeling of sandpaper ,The jacket be rough ,The jacket be smooth ,0,182
The jacket have the feeling of butter ,The jacket be rough ,The jacket be smooth ,1,182
She be skilled like a scientist . ,She be very skilled . ,She be not at all skillful . ,0,185
She be skilled like a bum . ,She be very skilled . ,She be not at all skillful . ,1,185
His vision be as cloudy as the sky during a hurricane ,It be hard to see through ,it be clear ,0,190
His vision be as cloudy as a glass of water ,It be hard to see through ,it be clear ,1,190
She be as clumsy as an octopus on roller skate ,she be a klutz ,she be careful ,0,191
She be as clumsy as a squirrel in a tree ,she be a klutz ,she be careful ,1,191
The teacher have all the charisma of a leader ,The teacher be charismatic ,The teacher be foolish ,0,195
The teacher have all the charisma of a clown ,The teacher be charismatic ,The teacher be foolish ,1,195
The pie crust be as flaky as dandruff ,The pie crust be totally flaky . ,The pie crust be tough . ,0,199
The pie crust be as flaky as a lead block ,The pie crust be totally flaky . ,The pie crust be tough . ,1,199
The movie end make as much sense as a pig in a pen ,The movie end make total sense . ,The movie end do not make any sense . ,0,200
The movie end make as much sense as a fish on a mountain ,The movie end make total sense . ,The movie end do not make any sense . ,1,200
The ski slope be a dimple . ,The ski slope be easy . ,The ski slope be difficult . ,0,202
The ski slope be Cyrano De Bergerac nose . ,The ski slope be easy . ,The ski slope be difficult . ,1,202
She be as free as a bird . ,She be very free . ,She be not free at all . ,0,204
She be as free as a zoo animal . ,She be very free . ,She be not free at all . ,1,204
She be as entertaining as a lecture . ,She be not entertaining . ,She be very entertaining . ,0,205
She be as entertaining as a television show . ,She be not entertaining . ,She be very entertaining . ,1,205
Getting the whole school evacuate in a raging fire be as easy as count ten penny ,Getting the whole school evacuate in a raging fire be simple . ,Getting the whole school evacuate in a raging fire be nearly impossible ,0,207
Getting the whole school evacuate in a raging fire be as easy as climb the Swiss Alps . ,Getting the whole school evacuate in a raging fire be simple . ,Getting the whole school evacuate in a raging fire be nearly impossible ,1,207
The building be as well construct as the straw house the pig build that the wolf blow down ,The building be fall apart ,The building be 100 % safe ,0,208
The building be as well construct as The brick house the wolf could not blow doen ,The building be fall apart ,The building be 100 % safe ,1,208
The head of our country be as smart as a a turkey ,The head of our country be very dumb . ,The head of our country be very smart . ,0,209
The head of our country be as smart as an orangutang ,The head of our country be very dumb . ,The head of our country be very smart . ,1,209
The future be as bright as the sun ,The future be bright ,The future be not bright ,0,211
The future be as bright as ink ,The future be bright ,The future be not bright ,1,211
The cat have the fur of a Yeti ,The cat be furry ,The cat be not furry ,0,215
The cat have the fur of a baby bottom ,The cat be furry ,The cat be not furry ,1,215
She think of herself as the mother of humanity . ,She be self righteous and entitle . ,She be humble and respectful towards the different people . ,0,223
She think of herself as a particle of sand in the desert . ,She be self righteous and entitle . ,She be humble and respectful towards the different people . ,1,223
He be as cautious as a mother with a newborn ,he be careful ,he be reckless ,0,225
He be as cautious as a drunk driver on the highway ,he be careful ,he be reckless ,1,225
The dog be as charming as a salesman ,the dog be flatter ,the dog be gross ,0,226
The dog be as charming as a sick racoon ,the dog be flatter ,the dog be gross ,1,226
The girl be as cheerful as a kid in a toy store ,she be happy ,she be sad ,0,227
The girl be as cheerful as a mom at a funeral ,she be happy ,she be sad ,1,227
The bathroom have the space of Neptune orbit around the sun ,The bathroom be spacious ,The bathroom be cramp ,0,230
The bathroom have the space of an egg with a baby chicken in it ,The bathroom be spacious ,The bathroom be cramp ,1,230
Her beauty be like the vaquita . ,Her beauty be quite rare . ,Her beauty be pretty common . ,0,231
Her beauty be like the Peruvian anchoveta . ,Her beauty be quite rare . ,Her beauty be pretty common . ,1,231
The boy be feel like burrow shrew today . ,The boy be very active today . ,The boy be move sluggish today . ,0,232
The boy be feel like nurse shark today . ,The boy be very active today . ,The boy be move sluggish today . ,1,232
The disease be as serious as a funeral ,The disease be very serious ,The disease be not serious ,0,234
The disease be as serious as a hangnail ,The disease be very serious ,The disease be not serious ,1,234
The doctor be dress like Liberace ,The doctor be dress well ,The doctor be dress poorly ,0,235
The doctor be dress like a car repairman ,The doctor be dress well ,The doctor be dress poorly ,1,235
The reporter have the charisma of a sloth ,The reporter be bore ,The report be over excited ,0,236
The reporter have the charisma of a Jack Russel terrier ,The reporter be bore ,The report be over excited ,1,236
The wood floor be as slippery as a piece of sand paper ,The floor be not slippery at all ,The floor be super slippery . ,0,238
The wood floor be as slippery as a banana peel ,The floor be not slippery at all ,The floor be super slippery . ,1,238
The reporter be so high he could hunt duck with a rake ,The reporter be under the influence of drug ,The reporter be not drug at all . ,0,239
The reporter be so high he could do differential equation with ease ,The reporter be under the influence of drug ,The reporter be not drug at all . ,1,239
The gorilla tape be sticky like melted chocolate bar in a wrapper . ,The tape be gooey and unwilling to release ,The tape be dry and fluffy ,0,240
The gorilla tape be sticky like dry mouse nest material . ,The tape be gooey and unwilling to release ,The tape be dry and fluffy ,1,240
Death the harvester of soul wait outside the door like a drool dog sit at the base of a tree wait for a squirrel . ,Death be patiently wait ,Death ran around in every direction simultaneously . ,0,241
Death the harvester of soul wait outside the door like a kindergarten class that run out of Ritalin while in a puppy farm ,Death be patiently wait ,Death ran around in every direction simultaneously . ,1,241
On the field the soccer player be a tornado ,On the field the soccer player be very aggressive . ,On the field the soccer player be not very impactful . ,0,242
On the field the soccer player be a light breeze ,On the field the soccer player be very aggressive . ,On the field the soccer player be not very impactful . ,1,242
The wine taste of my lover lip ,The wine taste great . ,The wine taste lousy . ,0,246
The wine taste of old shoe ,The wine taste great . ,The wine taste lousy . ,1,246
The effect of the disease on her body be an earthquake ,The effect be devestating ,The effect be minimal ,0,249
The effect of the disease on her body be a raindrop ,The effect be devestating ,The effect be minimal ,1,249
The article from the reporter have the insight of A first grader primer ,The article be shallow and lack depth ,The article be deep and meaningful ,0,251
The article from the reporter have the insight of An expert journalist ,The article be shallow and lack depth ,The article be deep and meaningful ,1,251
Her cheek be the color of a delicate rise ,Her cheek be pink ,Her cheek be white ,0,258
Her cheek be the color of chalk ,Her cheek be pink ,Her cheek be white ,1,258
He busy as a beaver ,He busy . ,He lazy not busy at all . ,0,261
He busy as a sloth ,He busy . ,He lazy not busy at all . ,1,261
The book be as thick as a board ,The book be thick . ,The book be thin . ,0,262
The book be as thick as piece of paper ,The book be thick . ,The book be thin . ,1,262
The man have the build of Hercules ,The man be very muscular . ,The man do not have any muscle . ,0,264
The man have the build of a third grader ,The man be very muscular . ,The man do not have any muscle . ,1,264
The whale be as a mountain ,The whale be enormous . ,The whale be small . ,0,266
The whale be as a tadpole ,The whale be enormous . ,The whale be small . ,1,266
The computer be as fast as a fighter jet . ,The computer be fast . ,The computer be slow . ,0,267
The computer be as fast as a snail . ,The computer be fast . ,The computer be slow . ,1,267
He be as brave as a mouse ,He be a coward ,He be brave ,0,269
He be as brave as a lion ,He be a coward ,He be brave ,1,269
the dog be as friendly as a bunny ,it be nice ,it be mean ,0,273
the dog be as friendly as a snake ,it be nice ,it be mean ,1,273
Talking to him be like try to corner a snake ,He be duplicitous ,He be dangerous ,0,275
Talking to him be like try to corner a rabid dog ,He be duplicitous ,He be dangerous ,1,275
The stain be as dark as midnight ,the stain be easy to point out ,the stain be light ,0,279
The stain be as dark as noon ,the stain be easy to point out ,the stain be light ,1,279
The vase be as fragile as glass ,The vase be fragile ,The vase be resilient and not fragile ,0,280
The vase be as fragile as stone ,The vase be fragile ,The vase be resilient and not fragile ,1,280
The NBA star be a ballet dancer . ,The NBA star be graceful . ,The NBA star be clumsy . ,0,290
The NBA star be a lumberjack . ,The NBA star be graceful . ,The NBA star be clumsy . ,1,290
He know her like a sister ,He know her very well ,He do not know her well . ,0,293
He know her like a stranger ,He know her very well ,He do not know her well . ,1,293
It be as hot as a pile of snow . ,It be not hot at all . ,It be very hot . ,0,295
It be as hot as a desert . ,It be not hot at all . ,It be very hot . ,1,295
The book be as thick as a piece of tissue paper . ,The book be very thin . ,The book be very thick . ,0,296
The book be as thick as a brick . ,The book be very thin . ,The book be very thick . ,1,296
The girl academic mark be as high as a skyscraper ,The girl academic mark be impressive . ,The girl academic mark be poor . ,0,298
The girl academic mark be as high as a basement ,The girl academic mark be impressive . ,The girl academic mark be poor . ,1,298
Her interpretive dance have the depth of an unattended litter box ,Her interpretive dance be shallow ,Her interpretive dance be profound ,0,304
Her interpretive dance have the depth of a Steinbeck novel ,Her interpretive dance be shallow ,Her interpretive dance be profound ,1,304
The elderly cat have the energy of a throw pillow ,The cat do not move ,The cat be hyperactive ,0,305
The elderly cat have the energy of a class at recess ,The cat do not move ,The cat be hyperactive ,1,305
She be as attractive as Aphrodite ,she be pretty ,she be ugly ,0,308
She be as attractive as a mudfish ,she be pretty ,she be ugly ,1,308
The work be about as average as get a 70 on a test ,the work be average ,the work be amaze ,0,309
The work be about as average as get a perfect score on a test ,the work be average ,the work be amaze ,1,309
His word be a knife ,they be violent and harsh ,they be soft ,0,310
His word be a pillow ,they be violent and harsh ,they be soft ,1,310
The sky be as blue as the sea ,The sky be blue ,The sky be muggy and dark ,0,312
The sky be as blue as the mud ,The sky be blue ,The sky be muggy and dark ,1,312
The man be thin as a toothpick ,The man be thin ,The man be very large . ,0,313
The man be thin as a rhinoceros ,The man be thin ,The man be very large . ,1,313
His sacrifice show he have a heart like a lion ,His sacrifice be very bold ,His sacrifice be timid and weak ,0,314
His sacrifice show he have a heart like a mouse ,His sacrifice be very bold ,His sacrifice be timid and weak ,1,314
The outfit have Teddy look about as nice as a three hundred dollar dinner ,The outfit look very fancy ,The outfit look very degrade ,0,316
The outfit have Teddy look about as nice as a bum on the street ,The outfit look very fancy ,The outfit look very degrade ,1,316
The child be as smart as an encyclopedia ,The child be very smart ,The child be not smart ,0,317
The child be as smart as a house plant ,The child be very smart ,The child be not smart ,1,317
The water be as hot as the sun ,The water be very hot ,The water be freeze cold ,0,319
The water be as hot as an ice cube ,The water be very hot ,The water be freeze cold ,1,319
He be as smart as an Einstein ,He be very smart ,He be quite stupid ,0,320
He be as smart as a brick ,He be very smart ,He be quite stupid ,1,320
The house be a big as a palace ,the house be big ,the house be tiny ,0,321
The house be a big as a breadbox ,the house be big ,the house be tiny ,1,321
The government run with the efficiency of a well oil machine ,The government be very efficient . ,The government be not efficient at all . ,0,323
The government run with the efficiency of a sputtering engine ,The government be very efficient . ,The government be not efficient at all . ,1,323
The odds be as high as the sky . ,The odds be very high . ,The odds be very low . ,0,324
The odds be as high as a hole in the ground . ,The odds be very high . ,The odds be very low . ,1,324
The storm cause all the destruction of a blazing inferno . ,The storm cause terrible devastation . ,The storm barely do any damage at all . ,0,325
The storm cause all the destruction of a pillow fight . ,The storm cause terrible devastation . ,The storm barely do any damage at all . ,1,325
The lion have the confidence of Barney Fife . ,The lion be a coward . ,The lion be self assure . ,0,328
The lion have the confidence of Fidel Castro . ,The lion be a coward . ,The lion be self assure . ,1,328
She as sweet as a candied yam ,She pretty swet ,She not sweet at all ,0,329
She as sweet as a pickled egg ,She pretty swet ,She not sweet at all ,1,329
The government welfare policy be as easy to read as an Apple privacy policy ,The government welfare policy be incomprehensible . ,The government welfare policy be really straightforward . ,0,332
The government welfare policy be as easy to read as a grocery list ,The government welfare policy be incomprehensible . ,The government welfare policy be really straightforward . ,1,332
The letter be as heartwarming as an apple cider donut straight from the fryer ,The letter be really heartwarming . ,The letter be not heartwarming at all . ,0,333
The letter be as heartwarming as lemon juice ,The letter be really heartwarming . ,The letter be not heartwarming at all . ,1,333
The government be radioactive . ,The government be dangerous . ,The government will protect you . ,0,341
The government be a shield . ,The government be dangerous . ,The government will protect you . ,1,341
The ocean be an old friend . ,The speaker love the ocean . ,The speaker fear the ocean . ,0,343
The ocean be a hunter . ,The speaker love the ocean . ,The speaker fear the ocean . ,1,343
You 're be as still as a statue . ,You 're be very still . ,You 're constantly move . ,0,345
You 're be as still as a hyperactive child on a sugar rush . ,You 're be very still . ,You 're constantly move . ,1,345
These chip be salty as the tear of a fangirl when her favorite band break up ,It very salty ,It have no salt ,0,349
These chip be salty as potassium chloride ,It very salty ,It have no salt ,1,349
The tree canopy have the shadow of a totem pole . ,The tree canopy do not provide shade . ,The tree canopy be shady . ,0,350
The tree canopy have the shadow of an eclipse . ,The tree canopy do not provide shade . ,The tree canopy be shady . ,1,350
Completing the homework assignment be like scale Everest ,Completing the homework assignment be hard . ,Completing the homework assignment be easy . ,0,354
Completing the homework assignment be like wad in a kiddie pool ,Completing the homework assignment be hard . ,Completing the homework assignment be easy . ,1,354
The burrito be have the length of a whale ,The burrito be long ,The burrito be short ,0,357
The burrito be have the length of a lighter ,The burrito be long ,The burrito be short ,1,357
She be as elegant as a swan ,she be graceful ,she be clumsy ,0,359
She be as elegant as a drunk dog ,she be graceful ,she be clumsy ,1,359
she be as embarrass as a kid that forget homework ,she be bashful ,she be proud ,0,360
she be as embarrass as a kid that get an A ,she be bashful ,she be proud ,1,360
His personality be as sparkling as A burn out lightbulb ,He be a dull person ,He us colorgul and explosive . ,0,364
His personality be as sparkling as JULY 4TH FIREWORKS ,He be a dull person ,He us colorgul and explosive . ,1,364
The You Tube tutorial be as informative as a blank sheet of paper . ,The You Tube tutorial be not at all informative . ,The You Tube tutorial be extremely informative . ,0,369
The You Tube tutorial be as informative as a graduate level physic class . ,The You Tube tutorial be not at all informative . ,The You Tube tutorial be extremely informative . ,1,369
The girl be as laidback as a picnic at the park ,The girl be very laidback . ,The girl be super uptight . ,0,376
The girl be as laidback as a black tie wedding ,The girl be very laidback . ,The girl be super uptight . ,1,376
The croissant have the delicacy of a Sumo wrestler . ,The croissant be tough . ,The croissant be light and airy . ,0,379
The croissant have the delicacy of a fly antenna . ,The croissant be tough . ,The croissant be light and airy . ,1,379
He be as frighten as a deer in headlight ,he be scar ,he be not scar ,0,383
He be as frighten as a bear in the wood ,he be scar ,he be not scar ,1,383
The puzzle be an insurmountable mountain . ,The puzzle be very difficult . ,The puzzle be easy . ,0,388
The puzzle be a short walk downhill . ,The puzzle be very difficult . ,The puzzle be easy . ,1,388
The defense argument have the simplicity of a Byzantine mosaic . ,The argument be complicate . ,The argument be very simple . ,0,392
The defense argument have the simplicity of a nursery rhyme . ,The argument be complicate . ,The argument be very simple . ,1,392
The pilot land with the elegance of a dancing elephant . ,The pilot land roughly . ,The pilot land smoothly . ,0,394
The pilot land with the elegance of a royal swan . ,The pilot land roughly . ,The pilot land smoothly . ,1,394
In his heart he felt the burning fire of separation ,He felt passionate ,He felt sad ,0,395
In his heart he felt the hallow depth of cave ,He felt passionate ,He felt sad ,1,395
It be as easy as lead a horse to water ,It be relatively easy ,It be not easy ,0,396
It be as easy as herd cat into a swimming pool ,It be relatively easy ,It be not easy ,1,396
The movie have the budget of a gold mine . ,The movie be very well fund . ,The movie have practically no funding at all . ,0,400
The movie have the budget of a shoestring . ,The movie be very well fund . ,The movie have practically no funding at all . ,1,400
The glass be as strong as an oak tree ,the glass be sturdy ,the glass be weak ,0,402
The glass be as strong as tissue paper ,the glass be sturdy ,the glass be weak ,1,402
The sculptor work be as creative as butter bread ,The sculptor work be really overdone . ,The sculptor work be very innovative . ,0,406
