startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
The conversation was a cigarette break,The conversation was short,The conversation be a cigarette break ,The conversation be short ,1,37,37_1,,0,0,aff,FALSE
The seas on the voyage were glass,The seas were calm,The sea on the voyage be glass ,The sea be calm ,0,38,38_0,,0,0,aff,FALSE
The seas on the voyage were a rock quarry,The seas were rough,The sea on the voyage be a rock quarry ,The sea be rough ,1,38,38_1,,0,0,aff,FALSE
The student was as helpful as medicine,he was a big help,The student be as helpful as medicine ,he be a big help ,0,40,40_0,as-as,0,not,aff,FALSE
The student was as helpful as a punch in the face,he was not needed,The student be as helpful as a punch in the face ,he be not need ,1,40,40_1,as-as,not,0,neg,TRUE
Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship have the heat of Miami in August ,Their relationship be passionate ,0,42,42_0,the-of,0,0,aff,FALSE
Their relationship has the heat of an igloo.,Their relationship is lacking passion.,Their relationship have the heat of an igloo . ,Their relationship be lack passion . ,1,42,42_1,the-of,0,0,aff,FALSE
The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be a walk through fire . ,The voyage will be difficult and arduous . ,0,46,46_0,,0,0,aff,FALSE
The voyage will be a walk through flowers.,The voyage will be pleasant.,The voyage will be a walk through flower . ,The voyage will be pleasant . ,1,46,46_1,,0,0,aff,FALSE
"For him, earning money was oxygen.",Making money kept him alive.,For him earn money be oxygen . ,Making money keep him alive . ,0,47,47_0,,0,0,aff,FALSE
"For him, earning money was a rope around his neck.",Making money was killing him.,For him earn money be a rope around his neck . ,Making money be kill him . ,1,47,47_1,,0,0,aff,FALSE
The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker be as quiet as a newborn baby . ,The speaker be very quiet . ,0,49,49_0,as-as,0,as as,aff,FALSE
The speaker was as quiet as a freight train.,The speaker was actually rather loud.,The speaker be as quiet as a freight train . ,The speaker be actually rather loud . ,1,49,49_1,as-as,as as,0,aff,FALSE
The man was as cool as ice,The man was very cool.,The man be as cool as ice ,The man be very cool . ,0,50,50_0,as-as,0,not,aff,FALSE
The man was as cool as sunburn,The man wasn't cool at all.,The man be as cool as sunburn ,The man be not cool at all . ,1,50,50_1,as-as,not,0,neg,TRUE
The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner be an imposter . ,The wedding planner do a horrible job plan the wedding . ,0,51,51_0,,0,0,aff,FALSE
The wedding planner was a magician.,The wedding planner did wonderfully planning the wedding.,The wedding planner be a magician . ,The wedding planner do wonderfully plan the wedding . ,1,51,51_1,,0,0,aff,FALSE
The dancer moved like a butterfly,the dancer is graceful,The dancer move like a butterfly ,the dancer be graceful ,0,54,54_0,like,0,0,aff,FALSE
The dancer moved like a horse.,The dancer is lead footed,The dancer move like a horse . ,The dancer be lead footed ,1,54,54_1,like,0,0,aff,FALSE
the pizza tastes like homemade,it's delicious,the pizza taste like homemade ,it be delicious ,0,56,56_0,like,0,0,aff,FALSE
the pizza tastes like yesterdays leftovers,it's garbage,the pizza taste like yesterday leftover ,it be garbage ,1,56,56_1,like,0,0,aff,FALSE
The painting had the creativity of a bowl of oatmeal,The movie was really dull.,The painting have the creativity of a bowl of oatmeal ,The movie be really dull . ,0,61,61_0,the-of,0,0,aff,FALSE
The painting had the creativity of a James Cameron movie,The movie was really creative.,The painting have the creativity of a James Cameron movie ,The movie be really creative . ,1,61,61_1,the-of,0,0,aff,FALSE
The child was as religious as a priest,The child was very religious,The child be as religious as a priest ,The child be very religious ,0,63,63_0,as-as,0,not,aff,FALSE
The child was as religious as a sinner,The child was not religious,The child be as religious as a sinner ,The child be not religious ,1,63,63_1,as-as,not,0,neg,TRUE
The woman was as kind as a teacher,The woman was kind,The woman be as kind as a teacher ,The woman be kind ,0,64,64_0,as-as,0,as as,aff,FALSE
The woman was as kind as a prisoner,The woman was cruel,The woman be as kind as a prisoner ,The woman be cruel ,1,64,64_1,as-as,as as,0,aff,FALSE
The test is as easy as a Sunday  morning,the test is easy,The test be as easy as a Sunday morning ,the test be easy ,0,70,70_0,as-as,0,as as,aff,FALSE
The test is as easy as rocket science,the test is hard,The test be as easy as rocket science ,the test be hard ,1,70,70_1,as-as,as as,0,aff,FALSE
She is happy as a clam,she is elated,She be happy as a clam ,she be elate ,0,71,71_0,as,0,0,aff,FALSE
She is happy as a bear that stepped on a thorn,she is mad,She be happy as a bear that step on a thorn ,she be mad ,1,71,71_1,as,0,0,aff,FALSE
The employee is sharp as a razor,The employee is smart.,The employee be sharp as a razor ,The employee be smart . ,0,74,74_0,as,0,0,aff,FALSE
The employee is sharp as a bowling ball,The employee is dumb.,The employee be sharp as a bowling ball ,The employee be dumb . ,1,74,74_1,as,0,0,aff,FALSE
The tourist thought the bed at the hotel felt like velvet,The bed was soft.,The tourist think the bed at the hotel felt like velvet ,The bed be soft . ,0,76,76_0,like,0,0,aff,FALSE
The tourist thought the bed at the hotel felt like marble,The bed was hard.,The tourist think the bed at the hotel felt like marble ,The bed be hard . ,1,76,76_1,like,0,0,aff,FALSE
When the rubber hits the road. life gets real,things get intense,When the rubber hit the road . life get real ,thing get intense ,0,77,77_0,,0,0,aff,FALSE
When the rubber hits the road. things go  down hill,things get worse,When the rubber hit the road . thing go down hill ,thing get worse ,1,77,77_1,,0,0,aff,FALSE
The pianist's performance was a game of whack-a-mole.,The pianist's performance was sloppy.,The pianist performance be a game of whack a mole . ,The pianist performance be sloppy . ,0,79,79_0,,0,0,aff,FALSE
The pianist's performance was the weaving of an ornate Persian carpet.,The pianist's performance was meticulous.,The pianist performance be the weaving of an ornate Persian carpet . ,The pianist performance be meticulous . ,1,79,79_1,the-of,0,0,aff,FALSE
The girl's personality was as sweet as a grapefruit,The girl had a very surly personality.,The girl personality be as sweet as a grapefruit ,The girl have a very surly personality . ,0,82,82_0,as-as,as as,0,aff,FALSE
The girl's personality was as sweet as a donut,The girl had a sweet personality.,The girl personality be as sweet as a donut ,The girl have a sweet personality . ,1,82,82_1,as-as,0,as as,aff,FALSE
The movie had as much meaning as a Hallmark card,The movie's meaning was frivolous.,The movie have as much meaning as a Hallmark card ,The movie meaning be frivolous . ,0,83,83_0,as-as,0,0,aff,FALSE
The movie had as much meaning as the Bible,The movie was laden with meaning.,The movie have as much meaning as the Bible ,The movie be laden with meaning . ,1,83,83_1,as-as,0,0,aff,FALSE
The jazz solo sounded as smooth as silk,The jazz solo sounded nice and smooth,The jazz solo sound as smooth as silk ,The jazz solo sound nice and smooth ,0,85,85_0,as-as,0,as as,aff,FALSE
The jazz solo sounded as smooth as sandpaper,The jazz solo sounded rough and bad,The jazz solo sound as smooth as sandpaper ,The jazz solo sound rough and bad ,1,85,85_1,as-as,as as,0,aff,FALSE
Her hangover made her feel like death,Her hangover made her feel terrible.,Her hangover make her feel like death ,Her hangover make her feel terrible . ,0,87,87_0,like,0,not,aff,FALSE
Her hangover made her feel like a sunrise,Her hangover didn't hurt her at all.,Her hangover make her feel like a sunrise ,Her hangover do not hurt her at all . ,1,87,87_1,like,not,0,neg,TRUE
The room was as open as a farm.,The room was very open.,The room be as open as a farm . ,The room be very open . ,0,89,89_0,as-as,0,not,aff,FALSE
The room was as open as a city.,The room wasn't open at all.,The room be as open as a city . ,The room be not open at all . ,1,89,89_1,as-as,not,0,neg,TRUE
His joints have the crackle of a bowl of Rice Krispies,His joints are quite crackly,His joint have the crackle of a bowl of Rice Krispies ,His joint be quite crackly ,0,92,92_0,the-of,0,not,aff,FALSE
His joints have the crackle of a pre-popped roll of bubble wrap,His joints do not crackle,His joint have the crackle of a pre pop roll of bubble wrap ,His joint do not crackle ,1,92,92_1,the-of,not,0,neg,TRUE
The lightbulb is putting out the light of a massive forest fire on a dark night,The lightbulb is putting out a lot of light,The lightbulb be put out the light of a massive forest fire on a dark night ,The lightbulb be put out a lot of light ,0,93,93_0,the-of,0,0,aff,FALSE
The lightbulb is putting out the light of a massive black hole in the darkness of space,The lightbulb is putting out no light,The lightbulb be put out the light of a massive black hole in the darkness of space ,The lightbulb be put out no light ,1,93,93_1,the-of,0,0,aff,FALSE
The thrift store had the variety of a monochrome print.,The thrift store had a limited selection.,The thrift store have the variety of a monochrome print . ,The thrift store have a limited selection . ,0,95,95_0,the-of,0,0,aff,FALSE
The thrift store had the variety of a dazzling tapestry.,The thrift store had a varied selection.,The thrift store have the variety of a dazzling tapestry . ,The thrift store have a varied selection . ,1,95,95_1,the-of,0,0,aff,FALSE
The doctor was a Norse villain.,The doctor was mean.,The doctor be a Norse villain . ,The doctor be mean . ,0,96,96_0,,0,0,aff,FALSE
The doctor was a fairytale prince.,The doctor was kind and charming.,The doctor be a fairytale prince . ,The doctor be kind and charming . ,1,96,96_1,,0,0,aff,FALSE
The sound of the glass shattering was like Hiroshima,The sound was loud,The sound of the glass shattering be like Hiroshima ,The sound be loud ,0,98,98_0,like,0,0,aff,FALSE
The sound of the glass shattering was like a lullaby,The sound was quiet,The sound of the glass shattering be like a lullaby ,The sound be quiet ,1,98,98_1,like,0,0,aff,FALSE
She was a bear at dinner,She ate a lot,She be a bear at dinner ,She eat a lot ,0,99,99_0,,0,0,aff,FALSE
She was a mouse at dinner,She ate very little,She be a mouse at dinner ,She eat very little ,1,99,99_1,,0,0,aff,FALSE
The armor was tough as iron,The armor was tough,The armor be tough as iron ,The armor be tough ,0,100,100_0,as,0,0,aff,FALSE
The armor was tough as glass,The armor was breakable and weak,The armor be tough as glass ,The armor be breakable and weak ,1,100,100_1,as,0,0,aff,FALSE
The toy was cared for like a baby,The toy was taken good care of,The toy be care for like a baby ,The toy be take good care of ,0,102,102_0,like,0,not,aff,FALSE
The toy was cared for like trash,The toy was not cared for well at all.,The toy be care for like trash ,The toy be not care for well at all . ,1,102,102_1,like,not,0,neg,TRUE
The lawyer's negotiation tactics were like steel,The lawyer's negotiation tactics were tough.,The lawyer negotiation tactic be like steel ,The lawyer negotiation tactic be tough . ,0,103,103_0,like,0,0,aff,FALSE
The lawyer's negotiation tactics were like a fuzzy bathrobe,The lawyer's negotiation tactics were lenient.,The lawyer negotiation tactic be like a fuzzy bathrobe ,The lawyer negotiation tactic be lenient . ,1,103,103_1,like,0,0,aff,FALSE
The plastic plate shattered and looked like A spiderweb,It shattered into a lot of pieces.,The plastic plate shatter and look like A spiderweb ,It shatter into a lot of piece . ,0,106,106_0,like,0,0,aff,FALSE
The plastic plate shattered and looked like A half moon,It only shattered into 2 pieces.,The plastic plate shatter and look like A half moon ,It only shatter into 2 piece . ,1,106,106_1,like,0,0,aff,FALSE
The apartment was as high up as The empire State building observation deck.,The apartment was on the high floor.,The apartment be as high up as The empire State building observation deck . ,The apartment be on the high floor . ,0,107,107_0,as-as,0,0,aff,FALSE
The apartment was as high up as A treehouse in the backyard,The apartment was only a few floors up,The apartment be as high up as A treehouse in the backyard ,The apartment be only a few floor up ,1,107,107_1,as-as,0,0,aff,FALSE
The man had the features of a Greek god,The man was very attractive,The man have the feature of a Greek god ,The man be very attractive ,0,110,110_0,the-of,0,0,aff,FALSE
The man had the features of a clown,The man was goofy and ugly,The man have the feature of a clown ,The man be goofy and ugly ,1,110,110_1,the-of,0,0,aff,FALSE
The pug was wheezing in dog form.,The dog is tired and has trouble breathing.,The pug be wheeze in dog form . ,The dog be tire and have trouble breathing . ,0,112,112_0,,0,0,aff,FALSE
The pug was lightning in dog form.,The dog has a ton of energy.,The pug be lightning in dog form . ,The dog have a ton of energy . ,1,112,112_1,,0,0,aff,FALSE
That movie has the humor of a nun.,The movie is not funny.,That movie have the humor of a nun . ,The movie be not funny . ,0,113,113_0,the-of,not,0,neg,TRUE
That movie has the humor of a clown bus.,The movie is very funny.,That movie have the humor of a clown bus . ,The movie be very funny . ,1,113,113_1,the-of,0,not,aff,FALSE
The movie has a depth of A crater.,The movie has a deep meaning.,The movie have a depth of A crater . ,The movie have a deep meaning . ,0,115,115_0,,0,0,aff,FALSE
The movie has a depth of A crack.,The movie is superficial.,The movie have a depth of A crack . ,The movie be superficial . ,1,115,115_1,,0,0,aff,FALSE
The gambler thought his odds were as low as the ground.,His odds were low.,The gambler think his odds be as low as the ground . ,His odds be low . ,0,119,119_0,as-as,0,as as,aff,FALSE
The gambler thought his odds were as low as the moon.,His odds were actually high.,The gambler think his odds be as low as the moon . ,His odds be actually high . ,1,119,119_1,as-as,as as,0,aff,FALSE
The dancer was as graceful as a swan.,The dancer was graceful.,The dancer be as graceful as a swan . ,The dancer be graceful . ,0,120,120_0,as-as,0,as as,aff,FALSE
The dancer was as graceful as a honking goose.,The dancer was boorish and uncoordinated.,The dancer be as graceful as a honking goose . ,The dancer be boorish and uncoordinated . ,1,120,120_1,as-as,as as,0,aff,FALSE
He was as smart as A tree stump,The person is dumb,He be as smart as A tree stump ,The person be dumb ,0,125,125_0,as-as,0,0,aff,FALSE
He was as smart as EINSTEIN,The person is a genius,He be as smart as EINSTEIN ,The person be a genius ,1,125,125_1,as-as,0,0,aff,FALSE
The stock value was a geyser,The stock value increased.,The stock value be a geyser ,The stock value increase . ,0,128,128_0,,0,0,aff,FALSE
The stock value was a puddle,The stock value stayed stagnant.,The stock value be a puddle ,The stock value stay stagnant . ,1,128,128_1,,0,0,aff,FALSE
The couch had all the comfort of a thornbush.,The couch was very comfortable.,The couch have all the comfort of a thornbush . ,The couch be very comfortable . ,0,131,131_0,the-of,0,not,aff,FALSE
The couch had all the comfort of a grandma's hug.,The couch was not very comfortable.,The couch have all the comfort of a grandma hug . ,The couch be not very comfortable . ,1,131,131_1,the-of,not,0,neg,TRUE
The ballerina has all to grace of A club-footed drunk,The ballerina is clumsy,The ballerina have all to grace of A club foot drunk ,The ballerina be clumsy ,0,133,133_0,,0,0,aff,FALSE
The ballerina has all to grace of A swan gently swimming in a pond,The ballerina is graceful,The ballerina have all to grace of A swan gently swim in a pond ,The ballerina be graceful ,1,133,133_1,,0,0,aff,FALSE
The tennis match contained all the suspense of A boring and endless Monopoly game,The tennis match is tedious and boring,The tennis match contain all the suspense of A boring and endless Monopoly game ,The tennis match be tedious and boring ,0,134,134_0,the-of,0,0,aff,FALSE
The tennis match contained all the suspense of An Alfred Hitchcock movie,The tennis match is suspenseful and exciting,The tennis match contain all the suspense of An Alfred Hitchcock movie ,The tennis match be suspenseful and excite ,1,134,134_1,the-of,0,0,aff,FALSE
He is faithful as a church goer,he is good,He be faithful as a church goer ,he be good ,0,135,135_0,as,0,0,aff,FALSE
He is faithful as a strip club VIP,he is bad,He be faithful as a strip club VIP ,he be bad ,1,135,135_1,as,0,0,aff,FALSE
The incense had the smell of a homemade apple pie after skipping lunch,The incense smelled quite good,The incense have the smell of a homemade apple pie after skip lunch ,The incense smell quite good ,0,138,138_0,the-of,0,not,aff,FALSE
The incense had the smell of a wet dog wearing gym socks,The incense didn't smell good at all,The incense have the smell of a wet dog wear gym sock ,The incense do not smell good at all ,1,138,138_1,the-of,not,0,neg,TRUE
The girl had the thirst of a man after finishing a 128 oz slushie,The girl was not thirsty,The girl have the thirst of a man after finish a 128 oz slushie ,The girl be not thirsty ,0,139,139_0,the-of,not,0,neg,TRUE
The girl had the thirst of a mid-'00s SUV after a short drive,The girl was very thirsty,The girl have the thirst of a mid '00s SUV after a short drive ,The girl be very thirsty ,1,139,139_1,the-of,0,not,aff,FALSE
The backpack had the space of a school bus in the middle of the night,The backpack had a lot of space,The backpack have the space of a school bus in the middle of the night ,The backpack have a lot of space ,0,140,140_0,the-of,0,0,aff,FALSE
The backpack had the space of a school bus on a field trip to a pizza party,There was little space in the backpack,The backpack have the space of a school bus on a field trip to a pizza party ,There be little space in the backpack ,1,140,140_1,the-of,0,0,aff,FALSE
The coffee was as strong as an army,The coffee was very strong,The coffee be as strong as an army ,The coffee be very strong ,0,142,142_0,as-as,0,as as,aff,FALSE
The coffee was as strong as diluted milk,The coffee was very weak,The coffee be as strong as dilute milk ,The coffee be very weak ,1,142,142_1,as-as,as as,0,aff,FALSE
The room was as dark as a pay phone,The room was very dark,The room be as dark as a pay phone ,The room be very dark ,0,143,143_0,as-as,0,not,aff,FALSE
The room was as dark as a raincloud,"The room was not dark, but not well lit",The room be as dark as a raincloud ,The room be not dark but not well light ,1,143,143_1,as-as,not,0,neg,TRUE
The sun shined like a flame.,The sun was very bright.,The sun shin like a flame . ,The sun be very bright . ,0,144,144_0,like,0,not,aff,FALSE
The sun shined like a burned-out bulb.,"The sun was dim or obscured, not bright at all.",The sun shin like a burn out bulb . ,The sun be dim or obscure not bright at all . ,1,144,144_1,like,not,0,neg,TRUE
Christmas was as lively as a party.,Christmas was lively and festive.,Christmas be as lively as a party . ,Christmas be lively and festive . ,0,145,145_0,as-as,0,as as,aff,FALSE
Christmas was as lively as a morgue.,"Christmas was quiet, lonely, and devoid of activity.",Christmas be as lively as a morgue . ,Christmas be quiet lonely and devoid of activity . ,1,145,145_1,as-as,as as,0,aff,FALSE
The movie has the thrill of a dentist's visit,The movie is dull.,The movie have the thrill of a dentist visit ,The movie be dull . ,0,151,151_0,the-of,0,0,aff,FALSE
The movie has the thrill of a carnival ride,The movie is exciting.,The movie have the thrill of a carnival ride ,The movie be excite . ,1,151,151_1,the-of,0,0,aff,FALSE
The book plot has the novelty of an iPhone 4,The book plot is stale.,The book plot have the novelty of an iPhone 4 ,The book plot be stale . ,0,152,152_0,the-of,0,0,aff,FALSE
The book plot has the novelty of a robot with feelings,The book plot is really novel.,The book plot have the novelty of a robot with feeling ,The book plot be really novel . ,1,152,152_1,the-of,0,0,aff,FALSE
"My shoulder hurts as much as stepping on a jagged, rusty nail",It hurts a lot,My shoulder hurt as much as step on a jagged rusty nail ,It hurt a lot ,0,153,153_0,as-as,0,0,aff,FALSE
My shoulder hurts as much as getting hit with a silk pillow,It barely hurts at all,My shoulder hurt as much as get hit with a silk pillow ,It barely hurt at all ,1,153,153_1,as-as,0,0,aff,FALSE
The hostess is a dental drill.,The hostess is unpleasant.,The hostess be a dental drill . ,The hostess be unpleasant . ,0,156,156_0,,0,0,aff,FALSE
The hostess is a sweet potato pie.,The hostess is delightful.,The hostess be a sweet potato pie . ,The hostess be delightful . ,1,156,156_1,,0,0,aff,FALSE
The wrinkle cream is an outhouse.,The wrinkle cream is disgusting.,The wrinkle cream be an outhouse . ,The wrinkle cream be disgust . ,0,157,157_0,,0,0,aff,FALSE
The wrinkle cream is a purring kitten.,The wrinkle cream is pleasant.,The wrinkle cream be a purr kitten . ,The wrinkle cream be pleasant . ,1,157,157_1,,0,0,aff,FALSE
She was gleaming like headlights,she was bright,She be gleam like headlight ,she be bright ,0,163,163_0,like,0,0,aff,FALSE
She was gleaming like midnight,she was dark,She be gleam like midnight ,she be dark ,1,163,163_1,like,0,0,aff,FALSE
This sand is as coarse as a silkworm's thread,It's not coarse at all,This sand be as coarse as a silkworm thread ,It not coarse at all ,0,175,175_0,as-as,not,0,neg,TRUE
This sand is as coarse as the discourse at a Thanksgiving dinner,It's very rough,This sand be as coarse as the discourse at a Thanksgiving dinner ,It very rough ,1,175,175_1,as-as,0,not,aff,FALSE
The pool has the wetness of the planet Kamino,It's very wet,The pool have the wetness of the planet Kamino ,It very wet ,0,176,176_0,the-of,0,0,aff,FALSE
The pool has the wetness of the planet Tatooine,It's very dry,The pool have the wetness of the planet Tatooine ,It very dry ,1,176,176_1,the-of,0,0,aff,FALSE
Quitting the job was as satisfying as an ice cream cone on a summer day,Quitting the job was totally satisfying.,Quitting the job be as satisfying as an ice cream cone on a summer day ,Quitting the job be totally satisfying . ,0,180,180_0,as-as,0,as as,aff,FALSE
Quitting the job was as satisfying as a prickly rose bush,Quitting the job gave no satisfaction.,Quitting the job be as satisfying as a prickly rise bush ,Quitting the job give no satisfaction . ,1,180,180_1,as-as,as as,0,aff,FALSE
The music has the sound of a jackhammer,The music is loud,The music have the sound of a jackhammer ,The music be loud ,0,181,181_0,the-of,0,0,aff,FALSE
The music has the sound of a baby bird,The music is soft,The music have the sound of a baby bird ,The music be soft ,1,181,181_1,the-of,0,0,aff,FALSE
The jacket has the feeling of sandpaper,The jacket is rough,The jacket have the feeling of sandpaper ,The jacket be rough ,0,182,182_0,the-of,0,0,aff,FALSE
The jacket has the feeling of butter,The jacket is smooth,The jacket have the feeling of butter ,The jacket be smooth ,1,182,182_1,the-of,0,0,aff,FALSE
She was skilled like a scientist.,She was very skilled.,She be skilled like a scientist . ,She be very skilled . ,0,185,185_0,like,0,not,aff,FALSE
She was skilled like a bum.,She was not at all skillful.,She be skilled like a bum . ,She be not at all skillful . ,1,185,185_1,like,not,0,neg,TRUE
His vision was as cloudy as the sky during a hurricane,It is hard to see through,His vision be as cloudy as the sky during a hurricane ,It be hard to see through ,0,190,190_0,as-as,0,0,aff,FALSE
His vision was as cloudy as a glass of water,it is clear,His vision be as cloudy as a glass of water ,it be clear ,1,190,190_1,as-as,0,0,aff,FALSE
She is as clumsy as an octopus on roller skates,she is a klutz,She be as clumsy as an octopus on roller skate ,she be a klutz ,0,191,191_0,as-as,0,0,aff,FALSE
She is as clumsy as a squirrel in a tree,she is careful,She be as clumsy as a squirrel in a tree ,she be careful ,1,191,191_1,as-as,0,0,aff,FALSE
The teacher had all the charisma of a leader,The teacher was charismatic,The teacher have all the charisma of a leader ,The teacher be charismatic ,0,195,195_0,the-of,0,0,aff,FALSE
The teacher had all the charisma of a clown,The teacher was foolish,The teacher have all the charisma of a clown ,The teacher be foolish ,1,195,195_1,the-of,0,0,aff,FALSE
The pie crust was as flaky as dandruff,The pie crust was totally flaky.,The pie crust be as flaky as dandruff ,The pie crust be totally flaky . ,0,199,199_0,as-as,0,as as,aff,FALSE
The pie crust was as flaky as a lead block,The pie crust was tough.,The pie crust be as flaky as a lead block ,The pie crust be tough . ,1,199,199_1,as-as,as as,0,aff,FALSE
The movie ending made as much sense as a pig in a pen,The movie ending made total sense.,The movie end make as much sense as a pig in a pen ,The movie end make total sense . ,0,200,200_0,as-as,0,not,aff,FALSE
The movie ending made as much sense as a fish on a mountain,The movie ending didn't make any sense.,The movie end make as much sense as a fish on a mountain ,The movie end do not make any sense . ,1,200,200_1,as-as,not,0,neg,TRUE
The ski slope is a dimple.,The ski slope is easy.,The ski slope be a dimple . ,The ski slope be easy . ,0,202,202_0,,0,0,aff,FALSE
The ski slope is Cyrano De Bergerac's nose.,The ski slope is difficult.,The ski slope be Cyrano De Bergerac nose . ,The ski slope be difficult . ,1,202,202_1,,0,0,aff,FALSE
She was as free as a bird.,She was very free.,She be as free as a bird . ,She be very free . ,0,204,204_0,as-as,0,not,aff,FALSE
She was as free as a zoo animal.,She wasn't free at all.,She be as free as a zoo animal . ,She be not free at all . ,1,204,204_1,as-as,not,0,neg,TRUE
She was as entertaining as a lecture.,She wasn't entertaining.,She be as entertaining as a lecture . ,She be not entertaining . ,0,205,205_0,as-as,not,0,neg,TRUE
She was as entertaining as a television show.,She was very entertaining.,She be as entertaining as a television show . ,She be very entertaining . ,1,205,205_1,as-as,0,not,aff,FALSE
Getting the whole school evacuated in a raging fire is as easy as counting ten pennies,Getting the whole school evacuated in a raging fire is simple.,Getting the whole school evacuate in a raging fire be as easy as count ten penny ,Getting the whole school evacuate in a raging fire be simple . ,0,207,207_0,as-as,0,0,aff,FALSE
Getting the whole school evacuated in a raging fire is as easy as climbing the Swiss Alps.,Getting the whole school evacuated in a raging fire is nearly impossible,Getting the whole school evacuate in a raging fire be as easy as climb the Swiss Alps . ,Getting the whole school evacuate in a raging fire be nearly impossible ,1,207,207_1,as-as,0,0,aff,FALSE
The building is as well constructed as the straw house  the pigs built that the wolf blew down,The building is falling apart,The building be as well construct as the straw house the pig build that the wolf blow down ,The building be fall apart ,0,208,208_0,as-as,0,0,aff,FALSE
The building is as well constructed as The brick house the wolf could not blow doen,The building is 100% safe,The building be as well construct as The brick house the wolf could not blow doen ,The building be 100 % safe ,1,208,208_1,as-as,0,0,aff,FALSE
The head of our country is as smart as a a turkey,The head of our country is very dumb.,The head of our country be as smart as a a turkey ,The head of our country be very dumb . ,0,209,209_0,as-as,as as,0,aff,FALSE
The head of our country is as smart as an orangutang,The head of our country is very smart.,The head of our country be as smart as an orangutang ,The head of our country be very smart . ,1,209,209_1,as-as,0,as as,aff,FALSE
The future is as bright as the sun,The future is bright,The future be as bright as the sun ,The future be bright ,0,211,211_0,as-as,0,not,aff,FALSE
The future is as bright as ink,The future is not bright,The future be as bright as ink ,The future be not bright ,1,211,211_1,as-as,not,0,neg,TRUE
The cat had the fur of a Yeti,The cat was furry,The cat have the fur of a Yeti ,The cat be furry ,0,215,215_0,the-of,0,not,aff,FALSE
