startphrase,ending1,ending2,labels,xid
Their relationship was superficial,The weren't close,They were close,0,430_0
Their relationship was intimate,The weren't close,They were close,1,430_1
It has a huge lifespan,It lives for a long time,It doesn't live for a long time,0,478_0
It has a short lifespan,It lives for a long time,It doesn't live for a long time,1,478_1
The shampoo has a strong moisturizing power,It moisturizes well,It doesn't moisturize well,0,479_0
The shampoo has a weak moisturizing power,It moisturizes well,It doesn't moisturize well,1,479_1
The movie was unsurprising,The movie could be predicted,The movie couldn't be predicted,0,493_0
The movie was surprising,The movie could be predicted,The movie couldn't be predicted,1,493_1
The girl gets a lot of attention,The girl gets attention.,The girl doesn't get attention,0,494_0
The girl gets little attention,The girl gets attention.,The girl doesn't get attention,1,494_1
Their marriage was enthusiastic,Their marriage is very passionate,Their marriage is not very passionate,0,500_0
Their marriage was apathetic,Their marriage is very passionate,Their marriage is not very passionate,1,500_1
The house was noisy,The house was not silent,The house was silent,0,517_0
The house was quiet,The house was not silent,The house was silent,1,517_1
The pillow is squashy,The pillow is soft,The pillow is not soft,0,518_0
The pillow is hard,The pillow is soft,The pillow is not soft,1,518_1
The book was as entertaining,The book was enjoyable,The book was not enjoyable,0,519_0
The book was as boring,The book was enjoyable,The book was not enjoyable,1,519_1
His movements were dexterous,His movements were delicate,His movements were not delicate,0,556_0
His movements were clumsy,His movements were delicate,His movements were not delicate,1,556_1
The light was shining,The light was bright,The light was not bright,0,557_0
The light was faint,The light was bright,The light was not bright,1,557_1
The bottle is transparent,The bottle is clear,The bottle is not clear,0,567_0
The bottle is opaque,The bottle is clear,The bottle is not clear,1,567_1
That cat was dangerous,The cat was deadly,The cat was not deadly,0,588_0
That cat was harmless,The cat was deadly,The cat was not deadly,1,588_1
The actors in the play were incompetent,The actors are not talented,The actors are very talented,0,592_0
The actors in the play were skilled,The actors are not talented,The actors are very talented,1,592_1
The tofu is peppery,The tofu is spicy,The tofu is not spicy,0,599_0
The tofu is mild,The tofu is spicy,The tofu is not spicy,1,599_1
The car was reliable,The car works well,The car does not work well,0,637_0
The car was unreliable,The car works well,The car does not work well,1,637_1
The woman was attractive,The woman is good looking,The woman is not good looking,0,642_0
The woman was ugly,The woman is good looking,The woman is not good looking,1,642_1
The drawing was circular,The drawing was round,The drawing was not round,0,648_0
The drawing was square,The drawing was round,The drawing was not round,1,648_1
I could eat a lot,I am very hungry,I am not very hungry,0,654_0
I could eat a little,I am very hungry,I am not very hungry,1,654_1
He is unfriendly,He is not sociable,He is sociable,0,661_0
He is friendly,He is not sociable,He is sociable,1,661_1
The juice box is adhesive,The juice box is sticky,The juice box isn't sticky,0,667_0
The juice box is slippery,The juice box is sticky,The juice box isn't sticky,1,667_1
The lightbulb is very bright,The lightbulb puts out a lot of light,The lightbulb does not put out a lot of light,0,671_0
The lightbulb is very faint,The lightbulb puts out a lot of light,The lightbulb does not put out a lot of light,1,671_1
The screen play was ficticious,The screen play wasn't realistic,The screen play was realistic,0,709_0
The screen play was factual,The screen play wasn't realistic,The screen play was very factual,1,709_1
The book is stupid,he book was not fantastic,The book was fantastic,0,741_0
The book is clever,he book was not fantastic,The book was fantastic,1,741_1
My puppy is lethargic,My puppy doesn't have a lot of energy,My puppy has a lot of energy,0,759_0
My puppy is lively,My puppy doesn't have a lot of energy,My puppy has a lot of energy,1,759_1
I found her to be boring,She was not interesting,She was interesting,0,760_0
I found her to be intriguing,She was not interesting,She was interesting,1,760_1
Those peppers I ate were spicy,The peppers were hot,The peppers were not hot,0,761_0
Those peppers I ate were mild,The peppers were hot,The peppers were not hot,1,761_1
Her fingernails were soft,Her fingernails were brittle,Her fingernails were not brittle,0,784_0
Her fingernails were hard,Her fingernails were brittle,Her fingernails were not brittle,1,784_1
He runs quickly,He can run really fast,He can not run really fast,0,796_0
He runs slowly,He can run really fast,He can not run really fast,1,796_1
The movie was hilarious,The movie wasn't funny,The movie was funny,1,821_0
The movie was serious,The movie wasn't funny,The movie was funny,0,821_1
The fence is corroded,The fence is rusty,The fence is not rusty,0,824_0
The fence is pristine,The fence is rusty,The fence is not rusty,1,824_1
That movie was prolonged,The movie was long,The movie was not long,0,857_0
That movie was brief,The movie was long,The movie was not long,1,857_1
She was emotionally weak,She was not emotionally resilient,She was emotionally resilient,0,861_0
She was emotionally strong,She was not emotionally resilient,She was emotionally resilient,1,861_1
That thing is expensive,The item is valuable,The item is not valuable,0,876_0
That thing is worthless,The item is valuable,The item is not valuable,1,876_1
His position on the platform was precarious,His position was not stable,His position was stable,0,880_0
His position on the platform was firm,His position was not stable,His position was stable,1,880_1
His feet were large,His feet were not small,His feet were small,0,887_0
His feet were tiny,His feet were not small,His feet were small,1,887_1
The gift I received was desirable,The gift was beneficial,The gift was not beneficial,0,888_0
The gift I received was unsuitable,The gift was beneficial,The gift was not beneficial,1,888_1
The man was determined,The man is ambitious,The man is not ambitious,0,891_0
The man was unmotivated,The man is ambitious,The man is not ambitious,1,891_1
This game is difficult,The game is very hard,The game is not very hard,0,931_0
This game is easy,The game is very hard,The game is not very hard,1,931_1
The boy's voice was very loud,The boy's voice could be heard,The boy's voice couldn't be heard,0,971_0
The boy's voice was very quiet,The boy's voice could be heard,The boy's voice couldn't be heard,1,971_1
He has good eyesight,He sees well,He doesn't see well,0,999_0
He has poor eyesight,He sees well,He doesn't see well,1,999_1
He's strict,He's not lenient,He's lenient,0,1000_0
He's tolerant,He's not lenient,He's lenient,1,1000_1
The comedian was amusing,The comedian was funny,The comedian was not funny,0,1029_0
The comedian was boring,The comedian was funny,The comedian was not funny,1,1029_1
The judge was unintelligent,The judge is not smart,The judge is smart,0,1072_0
The judge was intelligent,The judge is not smart,The judge is smart,1,1072_1
That wave was huge,The wave was very big,The wave wasn't very big,0,1073_0
That wave was small,The wave was very big,The wave wasn't very big,1,1073_1
This is entertaining,It's fun,It's not fun,0,1088_0
This is boring,It's fun,It's not fun,1,1088_1
The shopping list was thorough,The shopping list was detailed,The shopping list was not detailed,0,1100_0
The shopping list was unorganised,The shopping list was detailed,The shopping list was not detailed,1,1100_1
The blanket was velvety,The blanket was soft,The blanket was not soft,0,1106_0
The blanket was rough,The blanket was soft,The blanket was not soft,1,1106_1
He sang passionately,He was emotional while singing,He was not emotional while singing,0,1118_0
He sang apathetically,He was emotional while singing,He was not emotional while singing,1,1118_1
The football fans at the beginning of the season were hopeful,The football fans believed that the football season would be successful,The football fans did not believe that the football season would be successful,0,1141_0
The football fans at the beginning of the season were pessimistic,The football fans believed that the football season would be successful,The football fans did not believe that the football season would be successful,1,1141_1
The girl smiled excitedly,The girl's smile was exuberant,The girl's smile was not exuberant,0,1168_0
The girl smiled calmly,The girl's smile was exuberant,The girl's smile was not exuberant,1,1168_1
That man was likeable,He was not charming,He was charming,1,1178_0
That man was hostile,He was not charming,He was charming,0,1178_1
He's selfish,He doesn't share a lot,He shares a lot,0,1253_0
He's generous,He doesn't share a lot,He shares a lot,1,1253_1
This food is delicious,This food is very flavorful,This food is not very flavorful,0,1300_0
This food is tasteless,This food is very flavorful,This food is not very flavorful,1,1300_1
This is painful,This hurts,This does not hurt,0,1324_0
This is painless,This hurts,This does not hurt,1,1324_1
The knife is reflective,The knife is shiny,The knife is not shiny,0,1337_0
The knife is matte,The knife is shiny,The knife is not shiny,1,1337_1
The bone is pale,The bone is white,The bone is not white,0,1352_0
The bone is dark,The bone is white,The bone is not white,1,1352_1
The villain is very intelligent,The villain is a genius,The villain is not a genius,0,1361_0
The villain is ignorant,The villain is a genius,The villain is not a genius,1,1361_1
He has vast knowledge about science,He knows a lot about science,He doesn't know a lot about science,0,1374_0
He has limited knowledge about science,He knows a lot about science,He doesn't know a lot about science,1,1374_1
That man is truthful,The man is honest,The man is not honest,0,1409_0
That man is deceitful,The man is honest,The man is not honest,1,1409_1
He fought powerfully,He fought well,He didn't fight well,0,1410_0
He fought weakly,He fought well,He didn't fight well,1,1410_1
The house was enticing,The house was inviting,The house was not inviting,0,1436_0
The house was repulsive,The house was inviting,The house was not inviting,1,1436_1
That website is helpful,The website was not useful,The website was useful,1,1461_0
That website is unhelpful,The website was not useful,The website was useful,0,1461_1
The lamp was bright,The lamp gave off a lot of light,The lamp did not give off a lot of light,0,1482_0
The lamp was dim,The lamp gave off a lot of light,The lamp did not give off a lot of light,1,1482_1
The costume fit snugly,The costume fit well,The costume didn't fit well,0,1534_0
The costume fit inadiquately,The costume fit well,The costume didn't fit well,1,1534_1
They got few people interested,There's not many people interested in this,There's many people interested in this,0,1567_0
They got numerous people interested,There's not many people interested in this,There's many people interested in this,1,1567_1
The boy is slim,The boy is thin,The boy isn't thin,0,1571_0
The boy is fat,The boy is thin,The boy isn't thin,1,1571_1
The artist's work is identifiable,The artist's work is recognizable,The artist's work isn't recognizable,0,1572_0
The artist's work is unremarkable,The artist's work is recognizable,The artist's work isn't recognizable,1,1572_1
He works busily,He works really hard,He doesn't work really hard,0,1617_0
He works lazily,He works really hard,He doesn't work really hard,1,1617_1
He's capable at jumping,He can jump really well,He can't jump really well,0,1619_0
He's awful at jumping,He can jump really well,He can't jump really well,1,1619_1
The love between the two was enthusiastic,The love was very passionate,The love was not very passionate,0,1623_0
The love between the two was modest,The love was very passionate,The love was not very passionate,1,1623_1
After finishing his invention he felt proud,The invention was very well done,The invention was not very well done,0,1634_0
After finishing his invention he felt ashamed,The invention was very well done,The invention was not very well done,1,1634_1
That boy is very dumb,The boy is not a genius,The boy is a genius,0,1635_0
That boy is very intelligent,The boy is not a genius,The boy is a genius,1,1635_1
They are excited,they are hyped,they aren't hyped,0,1672_0
They are disinterested,they are hyped,they aren't hyped,1,1672_1
This blanket is thin,The blanket does not keep me warm,The blanket keeps me warm,0,1677_0
This blanket is insulating,The blanket does not keep me warm,The blanket keeps me warm,1,1677_1
The music is annoying,The music is not calming,The music is calming,0,1697_0
The music is a soothing,The music is not calming,The music is calming,1,1697_1
The route was direct,The route followed a straight line,The route did not follow a straight line,0,1699_0
The route was twisting,The route followed a straight line,The route did not follow a straight line,1,1699_1
The knife was cutting,The knife was sharp,The knife wasn't sharp,0,1707_0
The knife was blunt,The knife was sharp,The knife wasn't sharp,1,1707_1
He's solemn,He's very serious,He's not very serious,0,1717_0
He's playful,He's very serious,He's not very serious,1,1717_1
The document is formal,The document is official,The document isn't official,0,1760_0
The document is casual,The document is official,The document isn't official,1,1760_1
The milk was warm,The milk was not cold,The milk was cold,0,1801_0
The milk was chilled,The milk was not cold,The milk was cold,1,1801_1
He is dirty,He is not a clean person,He is a clean person,0,X6_0
He is hygienic,He is not a clean person,He is a clean person,1,X6_1
The night was unilluminated,The night was dark,The night was not dark,0,X10_0
The night was bright,The night was dark,The night was not dark,1,X10_1
The food is edible,The food can be digested easily,The food can not be digested easily,0,X11_0
The food is inedible,The food can be digested easily,The food can not be digested easily,1,X11_1
Mary's voice is pleasing,Mary is a good singer,Mary is not a good singer,0,X15_0
Mary's voice is harsh,Mary is a good singer,Mary is not a good singer,1,X15_1
The illness was benign,The illness is not serious,The illness is serious,0,X19_0
The illness was deadly,The illness is not serious,The illness is serious,1,X19_1
The story was tedious,The story was not enthralling,The story was enthralling,0,X30_0
The story was captivating,The story was not enthralling,The story was enthralling,1,X30_1
That monster was terrifying,That monster was scary,That monster was not scary,0,X39_0
That monster was harmless,That monster was scary,That monster was not scary,1,X39_1
