startphrase,ending1,ending2,labels,xid,adj_negation_pair
The movie end be straightforward ,The movie end make sense ,The movie end do not make sense ,0,200_0,
The movie end be confuse ,The movie end make sense ,The movie end do not make sense ,1,200_1,
She be bore ,She be not entertaining . ,She be very entertaining . ,0,205_0,
She be fun ,She be not entertaining . ,She be very entertaining . ,1,205_1,
The cat have a lot of hair ,The cat be furry ,The cat be not furry ,0,215_0,
The cat be bald ,The cat be furry ,The cat be not furry ,1,215_1,
The disease be severe ,The disease be very serious ,The disease be not serious ,0,234_0,
The disease be minor ,The disease be very serious ,The disease be not serious ,1,234_1,
The wood floor be smooth ,The floor be not slippery ,The floor be slippery ,1,238_0,
The wood floor be rough ,The floor be not slippery ,The floor be slippery ,0,238_1,
He tireless ,He busy ,He not busy ,0,261_0,2
He lazy ,He busy ,He not busy ,1,261_1,
The book be chunky ,The book be thick ,The book be not thick ,0,262_0,
The book be thin ,The book be thick ,The book be not thick ,1,262_1,
The man muscle be big ,The man be muscular ,The man be not muscular ,0,264_0,
The man muscle be small ,The man be muscular ,The man be not muscular ,1,264_1,
The computer be efficient ,The computer be fast ,The computer be not fast ,0,267_0,
The computer be slow ,The computer be fast ,The computer be not fast ,1,267_1,
He be a coward ,He be not brave ,He be brave ,0,269_0,
He be a hero ,He be not brave ,He be brave ,1,269_1,
The vase be weak ,The vase be fragile ,The vase be not fragile ,0,280_0,
The vase be strong ,The vase be fragile ,The vase be not fragile ,1,280_1,
She be a close friend to him ,He know her well ,He do not know her well ,0,293_0,
She be a stranger to him ,He know her well ,He do not know her well ,1,293_1,
It be freeze ,It be not hot ,It be hot ,0,295_0,
It be scorch ,It be not hot ,It be hot ,1,295_1,
The elderly cat be tire ,The cat be not hyperactive ,The cat be hyperactive ,0,305_0,
The elderly cat have a lot of energy ,The cat be not hyperactive ,The cat be hyperactive ,1,305_1,
The work be mediocre ,the work be amaze ,the work be not amazing ,1,309_0,
The work be exceptional ,the work be amaze ,the work be not amazing ,0,309_1,
The child be intelligent ,The child be smart ,The child be not smart ,0,317_0,
The child be stupid ,The child be smart ,The child be not smart ,1,317_1,
The government be very productive ,The government be efficient ,The government be not efficient ,0,323_0,
The government be unproductive ,The government be efficient ,The government be not efficient ,1,323_1,1
She lovely ,She sweet ,She not sweet ,0,329_0,
She horrible ,She sweet ,She not sweet ,1,329_1,
The letter be touch ,The letter be heartwarming . ,The letter be not heartwarming ,0,333_0,
The letter be distress ,The letter be heartwarming . ,The letter be not heartwarming ,1,333_1,
The tree canopy have a small shadow ,The tree canopy do not provide shade ,The tree canopy provide shade ,0,350_0,
The tree canopy have a large shadow ,The tree canopy do not provide shade ,The tree canopy provide shade ,1,350_1,
The You Tube tutorial be unenlightening ,The You Tube tutorial be not informative ,The You Tube tutorial be informative ,0,369_0,1
The You Tube tutorial be enlighten ,The You Tube tutorial be not informative ,The You Tube tutorial be informative ,1,369_1,
He be frighten ,he be scar ,he be not scar ,0,383_0,
He be fearless ,he be scar ,he be not scar ,1,383_1,1
It be effortless ,It be easy ,It be not easy ,0,396_0,2
It be difficult ,It be easy ,It be not easy ,1,396_1,
The clone be indistinguishable ,The clone be identical ,The clone be not identical ,0,411_0,2
The clone be dissimilar ,The clone be identical ,The clone be not identical ,1,411_1,
Their relationship be superficial ,The be not close ,They be close ,0,430_0,
Their relationship be intimate ,The be not close ,They be close ,1,430_1,
It have a huge lifespan ,It live for a long time ,It do not live for a long time ,0,478_0,
It have a short lifespan ,It live for a long time ,It do not live for a long time ,1,478_1,
The shampoo have a strong moisturizing power ,It moisturize well ,It do not moisturize well ,0,479_0,
The shampoo have a weak moisturizing power ,It moisturize well ,It do not moisturize well ,1,479_1,
The movie be unsurprising ,The movie could be predict ,The movie could not be predict ,0,493_0,2
The movie be surprising ,The movie could be predict ,The movie could not be predict ,1,493_1,
The girl get a lot of attention ,The girl get attention . ,The girl do not get attention ,0,494_0,
The girl get little attention ,The girl get attention . ,The girl do not get attention ,1,494_1,
Their marriage be enthusiastic ,Their marriage be very passionate ,Their marriage be not very passionate ,0,500_0,
Their marriage be apathetic ,Their marriage be very passionate ,Their marriage be not very passionate ,1,500_1,
The house be noisy ,The house be not silent ,The house be silent ,0,517_0,
The house be quiet ,The house be not silent ,The house be silent ,1,517_1,
The pillow be squashy ,The pillow be soft ,The pillow be not soft ,0,518_0,
The pillow be hard ,The pillow be soft ,The pillow be not soft ,1,518_1,
The book be as entertaining ,The book be enjoyable ,The book be not enjoyable ,0,519_0,
The book be as boring ,The book be enjoyable ,The book be not enjoyable ,1,519_1,
His movement be dexterous ,His movement be delicate ,His movement be not delicate ,0,556_0,
His movement be clumsy ,His movement be delicate ,His movement be not delicate ,1,556_1,
The light be shin ,The light be bright ,The light be not bright ,0,557_0,
The light be faint ,The light be bright ,The light be not bright ,1,557_1,
The bottle be transparent ,The bottle be clear ,The bottle be not clear ,0,567_0,
The bottle be opaque ,The bottle be clear ,The bottle be not clear ,1,567_1,
That cat be dangerous ,The cat be deadly ,The cat be not deadly ,0,588_0,
That cat be harmless ,The cat be deadly ,The cat be not deadly ,1,588_1,1
The actor in the play be incompetent ,The actor be not talented ,The actor be very talented ,0,592_0,1
The actor in the play be skilled ,The actor be not talented ,The actor be very talented ,1,592_1,
The tofu be peppery ,The tofu be spicy ,The tofu be not spicy ,0,599_0,
The tofu be mild ,The tofu be spicy ,The tofu be not spicy ,1,599_1,
The car be reliable ,The car work well ,The car do not work well ,0,637_0,
The car be unreliable ,The car work well ,The car do not work well ,1,637_1,1
The woman be attractive ,The woman be good look ,The woman be not good look ,0,642_0,
The woman be ugly ,The woman be good look ,The woman be not good look ,1,642_1,
The drawing be circular ,The drawing be round ,The drawing be not round ,0,648_0,
The drawing be square ,The drawing be round ,The drawing be not round ,1,648_1,
I could eat a lot ,I be very hungry ,I be not very hungry ,0,654_0,
I could eat a little ,I be very hungry ,I be not very hungry ,1,654_1,
He be unfriendly ,He be not sociable ,He be sociable ,0,661_0,1
He be friendly ,He be not sociable ,He be sociable ,1,661_1,
The juice box be adhesive ,The juice box be sticky ,The juice box be not sticky ,0,667_0,
The juice box be slippery ,The juice box be sticky ,The juice box be not sticky ,1,667_1,
The lightbulb be very bright ,The lightbulb put out a lot of light ,The lightbulb do not put out a lot of light ,0,671_0,
The lightbulb be very faint ,The lightbulb put out a lot of light ,The lightbulb do not put out a lot of light ,1,671_1,
The screen play be ficticious ,The screen play be not realistic ,The screen play be realistic ,0,709_0,
The screen play be factual ,The screen play be not realistic ,The screen play be very factual ,1,709_1,
The book be stupid ,he book be not fantastic ,The book be fantastic ,0,741_0,
The book be clever ,he book be not fantastic ,The book be fantastic ,1,741_1,
My puppy be lethargic ,My puppy do not have a lot of energy ,My puppy have a lot of energy ,0,759_0,
My puppy be lively ,My puppy do not have a lot of energy ,My puppy have a lot of energy ,1,759_1,
I find her to be bore ,She be not interesting ,She be interest ,0,760_0,
I find her to be intrigue ,She be not interesting ,She be interest ,1,760_1,
Those pepper I eat be spicy ,The pepper be hot ,The pepper be not hot ,0,761_0,
Those pepper I eat be mild ,The pepper be hot ,The pepper be not hot ,1,761_1,
Her fingernail be soft ,Her fingernail be brittle ,Her fingernail be not brittle ,0,784_0,
Her fingernail be hard ,Her fingernail be brittle ,Her fingernail be not brittle ,1,784_1,
He run quickly ,He can run really fast ,He can not run really fast ,0,796_0,
He run slowly ,He can run really fast ,He can not run really fast ,1,796_1,
The movie be hilarious ,The movie be not funny ,The movie be funny ,1,821_0,
The movie be serious ,The movie be not funny ,The movie be funny ,0,821_1,
The fence be corrode ,The fence be rusty ,The fence be not rusty ,0,824_0,
The fence be pristine ,The fence be rusty ,The fence be not rusty ,1,824_1,
That movie be prolong ,The movie be long ,The movie be not long ,0,857_0,
That movie be brief ,The movie be long ,The movie be not long ,1,857_1,
She be emotionally weak ,She be not emotionally resilient ,She be emotionally resilient ,0,861_0,
She be emotionally strong ,She be not emotionally resilient ,She be emotionally resilient ,1,861_1,
That thing be expensive ,The item be valuable ,The item be not valuable ,0,876_0,
That thing be worthless ,The item be valuable ,The item be not valuable ,1,876_1,1
His position on the platform be precarious ,His position be not stable ,His position be stable ,0,880_0,
His position on the platform be firm ,His position be not stable ,His position be stable ,1,880_1,
His foot be large ,His foot be not small ,His foot be small ,0,887_0,
His foot be tiny ,His foot be not small ,His foot be small ,1,887_1,
The gift I receive be desirable ,The gift be beneficial ,The gift be not beneficial ,0,888_0,
The gift I receive be unsuitable ,The gift be beneficial ,The gift be not beneficial ,1,888_1,1
The man be determine ,The man be ambitious ,The man be not ambitious ,0,891_0,
The man be unmotivated ,The man be ambitious ,The man be not ambitious ,1,891_1,1
This game be difficult ,The game be very hard ,The game be not very hard ,0,931_0,
This game be easy ,The game be very hard ,The game be not very hard ,1,931_1,
The boy voice be very loud ,The boy voice could be hear ,The boy voice could not be hear ,0,971_0,
The boy voice be very quiet ,The boy voice could be hear ,The boy voice could not be hear ,1,971_1,
He have good eyesight ,He see well ,He do not see well ,0,999_0,
He have poor eyesight ,He see well ,He do not see well ,1,999_1,
He strict ,He not lenient ,He lenient ,0,1000_0,
He tolerant ,He not lenient ,He lenient ,1,1000_1,
The comedian be amuse ,The comedian be funny ,The comedian be not funny ,0,1029_0,
The comedian be bore ,The comedian be funny ,The comedian be not funny ,1,1029_1,
The judge be unintelligent ,The judge be not smart ,The judge be smart ,0,1072_0,1
The judge be intelligent ,The judge be not smart ,The judge be smart ,1,1072_1,
That wave be huge ,The wave be very big ,The wave be not very big ,0,1073_0,
That wave be small ,The wave be very big ,The wave be not very big ,1,1073_1,
This be entertain ,It fun ,It not fun ,0,1088_0,
This be bore ,It fun ,It not fun ,1,1088_1,
The shopping list be thorough ,The shopping list be detailed ,The shopping list be not detailed ,0,1100_0,
The shopping list be unorganised ,The shopping list be detailed ,The shopping list be not detailed ,1,1100_1,1
The blanket be velvety ,The blanket be soft ,The blanket be not soft ,0,1106_0,
The blanket be rough ,The blanket be soft ,The blanket be not soft ,1,1106_1,
He sing passionately ,He be emotional while sing ,He be not emotional while sing ,0,1118_0,
He sing apathetically ,He be emotional while sing ,He be not emotional while sing ,1,1118_1,
The football fan at the beginning of the season be hopeful ,The football fan believe that the football season would be successful ,The football fan do not believe that the football season would be successful ,0,1141_0,
The football fan at the beginning of the season be pessimistic ,The football fan believe that the football season would be successful ,The football fan do not believe that the football season would be successful ,1,1141_1,
The girl smile excitedly ,The girl smile be exuberant ,The girl smile be not exuberant ,0,1168_0,
The girl smile calmly ,The girl smile be exuberant ,The girl smile be not exuberant ,1,1168_1,
That man be likeable ,He be not charm ,He be charm ,1,1178_0,
That man be hostile ,He be not charm ,He be charm ,0,1178_1,
He selfish ,He do not share a lot ,He share a lot ,0,1253_0,
He generous ,He do not share a lot ,He share a lot ,1,1253_1,
This food be delicious ,This food be very flavorful ,This food be not very flavorful ,0,1300_0,
This food be tasteless ,This food be very flavorful ,This food be not very flavorful ,1,1300_1,1
This be painful ,This hurt ,This do not hurt ,0,1324_0,
This be painless ,This hurt ,This do not hurt ,1,1324_1,1
The knife be reflective ,The knife be shiny ,The knife be not shiny ,0,1337_0,
The knife be matte ,The knife be shiny ,The knife be not shiny ,1,1337_1,
The bone be pale ,The bone be white ,The bone be not white ,0,1352_0,
The bone be dark ,The bone be white ,The bone be not white ,1,1352_1,
The villain be very intelligent ,The villain be a genius ,The villain be not a genius ,0,1361_0,
The villain be ignorant ,The villain be a genius ,The villain be not a genius ,1,1361_1,
He have vast knowledge about science ,He know a lot about science ,He do not know a lot about science ,0,1374_0,
He have limit knowledge about science ,He know a lot about science ,He do not know a lot about science ,1,1374_1,
That man be truthful ,The man be honest ,The man be not honest ,0,1409_0,
That man be deceitful ,The man be honest ,The man be not honest ,1,1409_1,
He fight powerfully ,He fought well ,He do not fight well ,0,1410_0,
He fight weakly ,He fought well ,He do not fight well ,1,1410_1,
The house be entice ,The house be invite ,The house be not invite ,0,1436_0,
The house be repulsive ,The house be invite ,The house be not invite ,1,1436_1,
That website be helpful ,The website be not useful ,The website be useful ,1,1461_0,
That website be unhelpful ,The website be not useful ,The website be useful ,0,1461_1,1
The lamp be bright ,The lamp give off a lot of light ,The lamp do not give off a lot of light ,0,1482_0,
The lamp be dim ,The lamp give off a lot of light ,The lamp do not give off a lot of light ,1,1482_1,
The costume fit snugly ,The costume fit well ,The costume do not fit well ,0,1534_0,
The costume fit inadiquately ,The costume fit well ,The costume do not fit well ,1,1534_1,1
They get few people interested ,There not many people interested in this ,There many people interested in this ,0,1567_0,
They get numerous people interested ,There not many people interested in this ,There many people interested in this ,1,1567_1,
The boy be slim ,The boy be thin ,The boy be not thin ,0,1571_0,
The boy be fat ,The boy be thin ,The boy be not thin ,1,1571_1,
The artist work be identifiable ,The artist work be recognizable ,The artist work be not recognizable ,0,1572_0,
The artist work be unremarkable ,The artist work be recognizable ,The artist work be not recognizable ,1,1572_1,1
He work busily ,He work really hard ,He do not work really hard ,0,1617_0,
He work lazily ,He work really hard ,He do not work really hard ,1,1617_1,
He capable at jump ,He can jump really well ,He ca not jump really well ,0,1619_0,
He awful at jump ,He can jump really well ,He ca not jump really well ,1,1619_1,
The love between the two be enthusiastic ,The love be very passionate ,The love be not very passionate ,0,1623_0,
The love between the two be modest ,The love be very passionate ,The love be not very passionate ,1,1623_1,
After finish his invention he felt proud ,The invention be very well do ,The invention be not very well do ,0,1634_0,
After finish his invention he felt ashamed ,The invention be very well do ,The invention be not very well do ,1,1634_1,
That boy be very dumb ,The boy be not a genius ,The boy be a genius ,0,1635_0,
That boy be very intelligent ,The boy be not a genius ,The boy be a genius ,1,1635_1,
They be excited ,they be hype ,they be not hype ,0,1672_0,
They be disinterested ,they be hype ,they be not hype ,1,1672_1,1
This blanket be thin ,The blanket do not keep me warm ,The blanket keep me warm ,0,1677_0,
This blanket be insulate ,The blanket do not keep me warm ,The blanket keep me warm ,1,1677_1,
The music be annoy ,The music be not calm ,The music be calm ,0,1697_0,
The music be a soothing ,The music be not calm ,The music be calm ,1,1697_1,
The route be direct ,The route follow a straight line ,The route do not follow a straight line ,0,1699_0,
The route be twist ,The route follow a straight line ,The route do not follow a straight line ,1,1699_1,
The knife be cut ,The knife be sharp ,The knife be not sharp ,0,1707_0,
The knife be blunt ,The knife be sharp ,The knife be not sharp ,1,1707_1,
He solemn ,He very serious ,He not very serious ,0,1717_0,
He playful ,He very serious ,He not very serious ,1,1717_1,
The document be formal ,The document be official ,The document be not official ,0,1760_0,
The document be casual ,The document be official ,The document be not official ,1,1760_1,
The milk be warm ,The milk be not cold ,The milk be cold ,0,1801_0,
The milk be chill ,The milk be not cold ,The milk be cold ,1,1801_1,
He be dirty ,He be not a clean person ,He be a clean person ,0,X6_0,
He be hygienic ,He be not a clean person ,He be a clean person ,1,X6_1,
The night be unilluminated ,The night be dark ,The night be not dark ,0,X10_0,2
The night be bright ,The night be dark ,The night be not dark ,1,X10_1,
The food be edible ,The food can be digest easily ,The food can not be digest easily ,0,X11_0,
The food be inedible ,The food can be digest easily ,The food can not be digest easily ,1,X11_1,1
Mary voice be please ,Mary be a good singer ,Mary be not a good singer ,0,X15_0,
Mary voice be harsh ,Mary be a good singer ,Mary be not a good singer ,1,X15_1,
The illness be benign ,The illness be not serious ,The illness be serious ,0,X19_0,
The illness be deadly ,The illness be not serious ,The illness be serious ,1,X19_1,
The story be tedious ,The story be not enthral ,The story be enthral ,0,X30_0,
The story be captivate ,The story be not enthral ,The story be enthral ,1,X30_1,
That monster be terrify ,That monster be scary ,That monster be not scary ,0,X39_0,
That monster be harmless ,That monster be scary ,That monster be not scary ,1,X39_1,1
